,id,slot,upgrade_current,primary,inate,sub1,sub2,sub3,sub4,rarity,nb_stars,type,grind,effi_stats,effi_real
0,42016891871,2,15, VIT, % Accuracy, ATK, % HP, % DEF, % ATK,Legend,6,Fatale,77.77,81.04,82.85
1,29374206876,3,15, DEF, % Accuracy, HP, % HP, % Tx. crit, VIT,Legend,6,Will,70.84,79.92,80.07
2,36851979490,6,15, % ATK,, % Tx. crit, % Dmg crit, % HP, VIT,A Legend,16,Vampire,0.0,87.03,78.84
3,28411113235,4,15, % HP, HP, % Tx. crit, % ATK, VIT, % DEF,Legend,5,Focus,53.33,80.75,78.38
4,40941082863,5,15, HP, DEF, % Tx. crit, % Accuracy, % DEF, % ATK,Legend,6,Will,50.0,80.68,78.34
5,38735618555,1,15, ATK,, % Res, % ATK, HP, VIT,Legend,6,Violent,67.63,75.48,77.9
6,37136292974,3,12, DEF, % Accuracy, % DEF, % HP, % Dmg crit, VIT,A Legend,15,Rage,0.0,85.77,77.7
7,28296182750,6,15, % DEF, % Dmg crit, HP, % ATK, % Accuracy, DEF,Legend,6,Revenge,70.64,76.08,77.55
8,38953588253,6,15, % DEF, % Res, HP, % Tx. crit, DEF, % Dmg crit,Legend,6,Rage,73.33,78.93,77.54
9,30532149714,3,12, DEF, % Tx. crit, % HP, % Accuracy, % Dmg crit, % DEF,Legend,6,Lame,70.0,79.76,77.24
10,30610671921,2,15, % HP, % Accuracy, % DEF, DEF, % Res, % ATK,Héroïque,6,Despair,71.11,75.9,77.01
11,42441929671,4,15, % HP,, % ATK, % Res, VIT, % DEF,A Legend,16,Swift,0.0,84.85,76.86
12,37408288592,2,15, % ATK,, % Tx. crit, VIT, % DEF, % HP,Legend,6,Rage,73.33,73.06,76.85
13,36001861214,1,15, ATK, % Tx. crit, % ATK, HP, % HP, % Dmg crit,Legend,6,Will,69.21,75.42,76.66
14,36281225504,5,15, HP, % Dmg crit, % Tx. crit, VIT, % DEF, % HP,Héroïque,6,Despair,73.33,74.15,76.51
15,40754513570,3,15, DEF, HP, % Tx. crit, % HP, % DEF, % Res,Legend,6,Will,70.0,80.43,76.15
16,38946562260,1,15, ATK, % Dmg crit, % Accuracy, VIT, % HP, % Tx. crit,Héroïque,6,Destruction,65.0,75.49,75.48
17,31097045528,4,15, % Dmg crit,, VIT, % Res, % ATK, % Tx. crit,Legend,6,Violent,50.0,80.13,75.35
18,41162886743,6,15, % HP,, VIT, % Accuracy, % ATK, % DEF,A Legend,16,Energy,0.0,82.83,75.03
19,40595174924,1,12, ATK, % ATK, % Accuracy, % Tx. crit, % HP, % Res,Legend,6,Violent,0.0,82.53,74.77
20,36042873650,2,15, % DEF, % ATK, VIT, % HP, % Accuracy, % Dmg crit,Legend,6,Rage,75.0,74.64,74.71
21,29288120431,5,15, HP, % Dmg crit, % Res, VIT, % DEF, % HP,Legend,6,Energy,60.0,78.34,74.65
22,27332243890,5,12, HP, DEF, % Tx. crit, % Dmg crit, % DEF, VIT,Legend,6,Energy,80.0,74.09,74.59
23,36423519478,6,15, % Accuracy, % Dmg crit, % ATK, VIT, % HP, % DEF,Héroïque,6,Energy,65.0,71.15,74.36
24,28109917582,3,15, DEF, % HP, % Res, VIT, HP, % Accuracy,Legend,6,Violent,90.54,75.19,74.33
25,39135473309,4,15, % Dmg crit,, % ATK, % DEF, % Tx. crit, VIT,A Legend,16,Swift,0.0,81.77,74.08
26,38884522887,2,12, VIT, % Dmg crit, ATK, % Tx. crit, % DEF, % HP,Legend,6,Rage,0.0,81.7,74.01
27,30915767847,5,15, HP,, % Tx. crit, VIT, ATK, % Dmg crit,Legend,6,Violent,73.33,74.95,73.84
28,39020737542,6,12, % Accuracy, % DEF, % Dmg crit, % Tx. crit, % HP, % Res,Legend,6,Will,0.0,81.46,73.8
29,36233388067,1,15, ATK, % ATK, % Tx. crit, VIT, % Accuracy, % Dmg crit,Héroïque,6,Rage,80.0,78.86,73.69
30,38934775044,3,15, DEF, % Dmg crit, % HP, VIT, % Tx. crit, % DEF,Héroïque,6,Vampire,66.66,74.58,73.5
31,28523963876,4,15, % DEF,, DEF, % Dmg crit, % ATK, VIT,Legend,6,Revenge,50.0,76.71,73.5
32,29155334044,5,15, HP, % Accuracy, % ATK, % DEF, VIT, % HP,Héroïque,6,Focus,57.5,72.13,73.49
33,37595974858,5,15, HP,, % Dmg crit, % HP, % Tx. crit, % ATK,Legend,6,Violent,70.0,72.28,73.36
34,30852919794,2,15, VIT,, % ATK, % Dmg crit, % Tx. crit, % DEF,Legend,6,Vampire,60.0,77.06,73.22
35,41876771481,6,15, % HP,, VIT, % Dmg crit, % Tx. crit, % DEF,A Legend,16,Vampire,0.0,80.82,73.22
36,36795251851,3,15, DEF, % Dmg crit, % DEF, % HP, VIT, HP,Héroïque,6,Energy,71.9,64.16,73.0
37,40592961299,2,15, % HP, ATK, % DEF, % ATK, HP, % Tx. crit,Legend,6,Revenge,68.24,65.87,72.65
